cod_municipio,UF,municipio,populacao,faixa_populacao,regiao,atendimento_website,atendimento_whatsapp,atendimento_telefone,nao_disponibiliza_atendimento_distancia,tipo_conexao_internet,tem_estrutura_t,ti_funcionarios_efetivos,ti_terceirizados,tem_cpd,software_interno,software_sociedade,nao_desenvolveu_software,A página da prefeitura na internet está,servico_ouvidoria_online,servico_consulta_processos,servico_nota_fiscal_eletronica,servico_agendamento_saude,site_mobile,tem_inclusao_digital,curso_informatica_populacao,tem_wifi_publico,consulta_publica_online,tem_portal_transparencia,tem_portal_dados_abertos,acessibilidade_sem_mouse,acessibilidade_libras
1100015,RO,Alta Floresta DOeste,22853,4 - 20001 até 50000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Não,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Sim,Não,Sim,Não,Não,Não
1100023,RO,Ariquemes,108573,6 - 100001 até 500000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
1100031,RO,Cabixi,5690,2 - 5001 até 10000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Não,-,Não,Não,Sim,Sim,Não,Não
1100049,RO,Cacoal,97637,5 - 50001 até 100000,1 - Norte,Sim,Sim,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim
1100056,RO,Cerejeiras,16975,3 - 10001 até 20000,1 - Norte,Sim,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Sim,Não,Não,-,Não,Sim,Sim,Sim,Não,Não
1100064,RO,Colorado do Oeste,16588,3 - 10001 até 20000,1 - Norte,Não,Sim,Não,Não,Via cabo ou fibra ótica,Sim,Sim,Sim,Sim,Não,Não,Sim,Ativa,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
1100072,RO,Corumbiara,8001,2 - 5001 até 10000,1 - Norte,Não,Sim,Sim,Não,Via cabo ou fibra ótica,Não,-,-,Sim,Sim,Não,Não,Ativa,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não
1100080,RO,Costa Marques,13522,3 - 10001 até 20000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Não,Sim,Não,Não,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Não,Sim,Sim,Não,Não,Não
1100098,RO,Espigão DOeste,32717,4 - 20001 até 50000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Não,Sim,Sim,Sim,Sim,Não,Ativa,Sim,Sim,Sim,Não,Não,Não,-,Sim,Não,Sim,Não,Não,Não
1100106,RO,Guajará-Mirim,43553,4 - 20001 até 50000,1 - Norte,Sim,Não,Sim,Não,Via cabo ou fibra ótica,Sim,Sim,Não,Sim,Sim,Não,Não,Ativa,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não
