id;source_file;page;section;kind;keyword;confidence;normalized_key;text
edital PE 29.2026 -  sistema prefeitura e outros-0001;edital PE 29.2026 -  sistema prefeitura e outros.pdf;1;2.1.2 O uso da senha de acesso é de responsabilidade exclusiva da licitante, incluindo qualquer transação por ela efetuada diretamente, ou por seu representante, não cabendo ao provedor do sistema ou;tecnico;nuvem;0.68;nuvem o sistema devera ser plenamente aderente as normas brasileiras aplicaveis a todos os setores da;nuvem. O sistema deverá ser plenamente aderente às normas brasileiras aplicáveis a todos os setores da
edital PE 29.2026 -  sistema prefeitura e outros-0002;edital PE 29.2026 -  sistema prefeitura e outros.pdf;1;2.1.2 O uso da senha de acesso é de responsabilidade exclusiva da licitante, incluindo qualquer transação por ela efetuada diretamente, ou por seu representante, não cabendo ao provedor do sistema ou;tecnico;nuvem;0.68;publica com acesso via web ou disponibilizacao em nuvem o sistema devera ser plenamente;pública, com acesso via web ou disponibilização em nuvem. O sistema deverá ser plenamente
edital PE 29.2026 -  sistema prefeitura e outros-0003;edital PE 29.2026 -  sistema prefeitura e outros.pdf;1;2.1.2 O uso da senha de acesso é de responsabilidade exclusiva da licitante, incluindo qualquer transação por ela efetuada diretamente, ou por seu representante, não cabendo ao provedor do sistema ou;habilitacao;sistema;0.76;cadastramento unificado de fornecedores sicaf e perante o sistema eletronico provido pela secretaria de;Cadastramento Unificado de Fornecedores – SICAF e perante o sistema eletrônico provido pela Secretaria de
edital PE 29.2026 -  sistema prefeitura e outros-0004;edital PE 29.2026 -  sistema prefeitura e outros.pdf;1;2.1.2 O uso da senha de acesso é de responsabilidade exclusiva da licitante, incluindo qualquer transação por ela efetuada diretamente, ou por seu representante, não cabendo ao provedor do sistema ou;tecnico;licitacao;0.72;maico diogo faversani e esta pregoeira designada na qualidade de pregoeira agente de contratacao pela portaria no159 de 2026 tornam publica para conhecimento das empresas interessadas na forma da lei n 14 133 de 1o de abril de 2021 da lei complementar no 123 de 14 de dezembro de 2006 e no que couber da instrucao normativa seges me no 73 de 30 de setembro de 2022 decreto municipal no 3 283 de 28 de marco de 2023 e tendo em vista o que consta do processo n 74 2026 a abertura de licitacao na modalidade pregao na forma eletronica pelo criterio de julgamento menor preco global objetivando a contratacao de empresa especializada para a locacao de licenca de uso de software de gestao publica com acesso via web ou disponibilizacao em nuvem;Maico Diogo Faversani e esta Pregoeira, designada, na qualidade de Pregoeira/Agente de Contratação, pela Portaria nº159, de 2026, tornam pública, para conhecimento das empresas interessadas, na forma da Lei n° 14.133, de 1º de abril de 2021, da Lei Complementar nº 123, de 14 de dezembro de 2006, e, no que couber, da Instrução Normativa SEGES/ME nº 73, de 30 de setembro de 2022, Decreto Municipal nº 3.283 de 28 de março de 2023, e, tendo em vista o que consta do Processo n° 74/2026, a abertura de licitação, na modalidade PREGÃO, na forma ELETRÔNICA, pelo critério de julgamento MENOR PREÇO GLOBAL objetivando a Contratação de empresa especializada para a locação de licença de uso de software de gestão pública, com acesso via web ou disponibilização em nuvem.
edital PE 29.2026 -  sistema prefeitura e outros-0005;edital PE 29.2026 -  sistema prefeitura e outros.pdf;1;2.1.2 O uso da senha de acesso é de responsabilidade exclusiva da licitante, incluindo qualquer transação por ela efetuada diretamente, ou por seu representante, não cabendo ao provedor do sistema ou;tecnico;seguranca;0.68;o sistema devera ser plenamente aderente as normas brasileiras aplicaveis a todos os setores da administracao publica municipal garantindo funcionalidade seguranca eficiencia e conformidade legal;O sistema deverá ser plenamente aderente às normas brasileiras aplicáveis a todos os setores da Administração Pública Municipal, garantindo funcionalidade, segurança, eficiência e conformidade legal.
edital PE 29.2026 -  sistema prefeitura e outros-0006;edital PE 29.2026 -  sistema prefeitura e outros.pdf;2;2.7 É vedada a participação de consórcio de empresas, qualquer que seja a sua forma de constituição.;habilitacao;licitacao;0.72;2 3 1 tenham sido declaradas inidoneas para licitar ou contratar por qualquer orgao ou entidade da;2.3.1 tenham sido declaradas inidôneas para licitar ou contratar por qualquer órgão ou entidade da
edital PE 29.2026 -  sistema prefeitura e outros-0007;edital PE 29.2026 -  sistema prefeitura e outros.pdf;2;2.7 É vedada a participação de consórcio de empresas, qualquer que seja a sua forma de constituição.;habilitacao;licitacao;0.72;2 3 1 tenham sido declaradas inidoneas para licitar ou contratar por qualquer orgao ou entidade da administracao publica direta ou indireta federal estadual municipal ou distrital tendo por fundamento o art;2.3.1 tenham sido declaradas inidôneas para licitar ou contratar por qualquer órgão ou entidade da Administração Pública direta ou indireta federal, estadual, municipal ou distrital, tendo por fundamento o art.
edital PE 29.2026 -  sistema prefeitura e outros-0008;edital PE 29.2026 -  sistema prefeitura e outros.pdf;3;3.7 A licitante deverá preencher, em campo próprio do sistema eletrônico, as declarações:;habilitacao;habilitacao;0.68;3 7 2 para fins de habilitacao;3.7.2 para fins de habilitação:
edital PE 29.2026 -  sistema prefeitura e outros-0009;edital PE 29.2026 -  sistema prefeitura e outros.pdf;3;3.7 A licitante deverá preencher, em campo próprio do sistema eletrônico, as declarações:;habilitacao;habilitacao;0.68;a sobre atendimento aos requisitos de habilitacao;"a) sobre atendimento aos requisitos de habilitação;"
edital PE 29.2026 -  sistema prefeitura e outros-0010;edital PE 29.2026 -  sistema prefeitura e outros.pdf;3;3.7 A licitante deverá preencher, em campo próprio do sistema eletrônico, as declarações:;habilitacao;habilitacao;0.68;b sobre inexistencia de impedimento a habilitacao;b) sobre inexistência de impedimento à habilitação
